name,sku,brand,category,description,distributorPrice,logisticsCost,unitPrice,targetMarginPct,gstRate,hsnCode,unit,minStockLevel,minMarginPct,warrantyPeriod,mrp,type,packSize,almm,dcrCompliant,modelSeries,lifecycleStatus,applicableRegions,priceListVersion,productFamily,customerTierPrice,specs,supplierSku
Eastman Grid Tie Inverter 20KW 3Ph,EAS-GTI-3P-20KW,Eastman,Grid Tie Inverter — 3 Phase,Three phase on-grid solar inverter 20KW,55010,,,18,5,85044090,pcs,1,10,10 Years,,goods,1,,,EGT,active,,Apr-26-v1,Eastman Grid Tie 3 Phase,,"{""capacity_kw"": 20, ""phase"": ""3P""}",ES20KWT-GT-3P:2M
Eastman Grid Tie Inverter 30KW 3Ph,EAS-GTI-3P-30KW,Eastman,Grid Tie Inverter — 3 Phase,Three phase on-grid solar inverter 30KW,91830,,,18,5,85044090,pcs,1,10,10 Years,,goods,1,,,EGT,active,,Apr-26-v1,Eastman Grid Tie 3 Phase,,"{""capacity_kw"": 30, ""phase"": ""3P""}",ES30KWT-GT-3P:2M
Eastman Grid Tie Inverter 50KW 3Ph,EAS-GTI-3P-50KW,Eastman,Grid Tie Inverter — 3 Phase,Three phase on-grid solar inverter 50KW,130260,,,18,5,85044090,pcs,1,10,10 Years,,goods,1,,,EGT,active,,Apr-26-v1,Eastman Grid Tie 3 Phase,,"{""capacity_kw"": 50, ""phase"": ""3P""}",EGT-50K-3P4M
Eastman Grid Tie Inverter 60KW 3Ph,EAS-GTI-3P-60KW,Eastman,Grid Tie Inverter — 3 Phase,Three phase on-grid solar inverter 60KW,136930,,,18,5,85044090,pcs,1,10,10 Years,,goods,1,,,EGT,active,,Apr-26-v1,Eastman Grid Tie 3 Phase,,"{""capacity_kw"": 60, ""phase"": ""3P""}",EGT-60K-3P4M
Eastman Grid Tie Inverter 110KW 3Ph,EAS-GTI-3P-110KW,Eastman,Grid Tie Inverter — 3 Phase,Three phase on-grid solar inverter 110KW,223320,,,18,5,85044090,pcs,1,10,10 Years,,goods,1,,,EGT,active,,Apr-26-v1,Eastman Grid Tie 3 Phase,,"{""capacity_kw"": 110, ""phase"": ""3P""}",EGT-110K-3P4M
Eastman Single Phase CT 100A,EAS-GTI-ACC-CT100A,Eastman,GTI Accessory,Eastman Single Phase CT 100A,620,,,30,18,9030,pcs,10,15,1 Year,,goods,1,,,GTI-ACC,active,,Apr-26-v1,Eastman GTI Accessories,,{},Single Phase CT 100A
Eastman Three Phase Meter 150A with CT,EAS-GTI-ACC-3PM150A,Eastman,GTI Accessory,Eastman Three Phase Meter 150A with CT,9050,,,30,18,90281090,pcs,10,15,1 Year,,goods,1,,,GTI-ACC,active,,Apr-26-v1,Eastman GTI Accessories,,{},Three Phase Meter 150A with CT
Eastman GPS Dongle without SIM Recharge,EAS-GTI-ACC-GPSDGL,Eastman,GTI Accessory,Eastman GPS Dongle without SIM Recharge,1074,,,30,18,85269190,pcs,10,15,1 Year,,goods,1,,,GTI-ACC,active,,Apr-26-v1,Eastman GTI Accessories,,{},GPS Dongle without SIM recharge
Eastman Solar Battery EM150SB 150Ah,EAS-BAT-EM150SB,Eastman,Solar Battery — Lead Acid,Eastman 150Ah Solar variant lead acid tubular battery,11070,,,20,18,85072000,pcs,3,12,60+60,,goods,1,,,EM-SB,active,,Apr-26-v1,Eastman Solar Battery,,"{""capacity_ah"": 150, ""voltage_v"": 12, ""chemistry"": ""Lead Acid Tubular"", ""variant"": ""Solar""}",EM150SB
Eastman Solar Battery EM200SB 200Ah,EAS-BAT-EM200SB,Eastman,Solar Battery — Lead Acid,Eastman 200Ah Solar variant lead acid tubular battery,13470,,,20,18,85072000,pcs,3,12,60+60,,goods,1,,,EM-SB,active,,Apr-26-v1,Eastman Solar Battery,,"{""capacity_ah"": 200, ""voltage_v"": 12, ""chemistry"": ""Lead Acid Tubular"", ""variant"": ""Solar""}",EM200SB
Eastman Solar Battery EM260SB 260Ah,EAS-BAT-EM260SB,Eastman,Solar Battery — Lead Acid,Eastman 260Ah Solar variant lead acid tubular battery,18090,,,20,18,85072000,pcs,3,12,60+60,,goods,1,,,EM-SB,active,,Apr-26-v1,Eastman Solar Battery,,"{""capacity_ah"": 260, ""voltage_v"": 12, ""chemistry"": ""Lead Acid Tubular"", ""variant"": ""Solar""}",EM260SB
Eastman Wall Mounted Battery ES25.6-100LP 25.6V 100Ah,EAS-BAT-ES256-100LP,Eastman,Rack / Wall Battery,Eastman lithium wall mounted battery 25.6V 100Ah,28030,,,18,18,85078000,pcs,2,12,5 Years,,goods,1,,,ES-LithBat,active,,Apr-26-v1,Eastman Rack Wall Battery,,"{""capacity_ah"": 100, ""voltage_v"": 25.6, ""chemistry"": ""Lithium"", ""mounting"": ""Wall"", ""rack_fitted"": ""false""}",ES25.6-100LP
Eastman Wall Mounted Battery ES51.2-100LP 51.2V 100Ah,EAS-BAT-ES512-100LP,Eastman,Rack / Wall Battery,Eastman lithium wall mounted battery 51.2V 100Ah,44970,,,18,18,85078000,pcs,2,12,5 Years,,goods,1,,,ES-LithBat,active,,Apr-26-v1,Eastman Rack Wall Battery,,"{""capacity_ah"": 100, ""voltage_v"": 51.2, ""chemistry"": ""Lithium"", ""mounting"": ""Wall"", ""rack_fitted"": ""false""}",ES51.2-100LP
Eastman Rack Fitted Battery ES51.2-100BS 51.2V 100Ah,EAS-BAT-ES512-100BS,Eastman,Rack / Wall Battery,Eastman lithium rack fitted battery 51.2V 100Ah,44000,,,18,18,85078000,pcs,2,12,5 Years,,goods,1,,,ES-LithBat,active,,Apr-26-v1,Eastman Rack Wall Battery,,"{""capacity_ah"": 100, ""voltage_v"": 51.2, ""chemistry"": ""Lithium"", ""mounting"": ""Rack"", ""rack_fitted"": ""true""}",ES51.2-100BS
Eastman EM Hybrid Inverter 3KW 1Ph Optigrid,EAS-HYB-1P-3KW,Eastman,Hybrid Inverter,Eastman Optigrid hybrid solar inverter 3KW 1P 48V lithium-ion compatible,64540,,,15,5,85044090,pcs,1,10,10 Years,,goods,1,,,EM-Optigrid,active,,Apr-26-v1,Eastman Hybrid Inverters,,"{""capacity_kw"": 3, ""voltage_v"": 48, ""phase"": ""1P"", ""series"": ""Optigrid""}",EM Hybrid Inverter 3KW-1P:1M-Optigrid
Eastman EM Hybrid Inverter 5KW 1Ph Optigrid,EAS-HYB-1P-5KW,Eastman,Hybrid Inverter,Eastman Optigrid hybrid solar inverter 5KW 1P 48V lithium-ion compatible,75740,,,15,5,85044090,pcs,1,10,10 Years,,goods,1,,,EM-Optigrid,active,,Apr-26-v1,Eastman Hybrid Inverters,,"{""capacity_kw"": 5, ""voltage_v"": 48, ""phase"": ""1P"", ""series"": ""Optigrid""}",EM Hybrid Inverter 5KW-1P:1M-Optigrid
Eastman EM Hybrid Inverter 10KW 3Ph Optigrid,EAS-HYB-3P-10KW,Eastman,Hybrid Inverter,Eastman Optigrid hybrid solar inverter 10KW 3P 48V lithium-ion compatible,157600,,,15,5,85044090,pcs,1,10,10 Years,,goods,1,,,EM-Optigrid,active,,Apr-26-v1,Eastman Hybrid Inverters,,"{""capacity_kw"": 10, ""voltage_v"": 48, ""phase"": ""3P"", ""series"": ""Optigrid""}",EM Hybrid Inverter 10KW-3P:2M-Optigrid
Eastman Solar Panel EMP50W 50WP Mono Perc,EAS-PAN-EMP50W,Eastman,Solar Panel / PV Module,50WP 12V Mono Perc solar panel,1360,,,12,5,85414300,pcs,10,8,25 Years,,goods,1,,,EMP50W,active,,Apr-26-v1,Eastman Solar PV Modules,,"{""wattage_w"": 50, ""voltage_dc_v"": 12, ""cell_type"": ""Mono Perc""}",EMP50W
Eastman Solar Panel EMP125W 125WP Mono Perc,EAS-PAN-EMP125W,Eastman,Solar Panel / PV Module,125WP 12V Mono Perc solar panel,2760,,,12,5,85414300,pcs,10,8,25 Years,,goods,1,,,EMP125W,active,,Apr-26-v1,Eastman Solar PV Modules,,"{""wattage_w"": 125, ""voltage_dc_v"": 12, ""cell_type"": ""Mono Perc""}",EMP125W
Eastman Solar Panel EMP210W 210WP Mono Perc,EAS-PAN-EMP210W,Eastman,Solar Panel / PV Module,210WP 12V Mono Perc solar panel,4100,,,12,5,85414300,pcs,10,8,25 Years,,goods,1,,,EMP210W,active,,Apr-26-v1,Eastman Solar PV Modules,,"{""wattage_w"": 210, ""voltage_dc_v"": 12, ""cell_type"": ""Mono Perc""}",EMP210W
Eastman Solar Panel EBP550W Non-DCR 550WP Bi-Facial,EAS-PAN-EBP550W-NDCR,Eastman,Solar Panel / PV Module,550WP 24V Mono Perc Bi-Facial non-DCR solar panel,8440,,,12,5,85414300,pcs,10,8,25 Years,,goods,1,,,EBP550W-Non DCR,active,,Apr-26-v1,Eastman Solar PV Modules,,"{""wattage_w"": 550, ""voltage_dc_v"": 24, ""cell_type"": ""Mono Perc Bi-Facial""}",EBP550W-Non DCR
Eastman Solar Panel G2G1770-HAD 590WP Topcon Non-DCR,EAS-PAN-G2G590W-NDCR,Eastman,Solar Panel / PV Module,590WP 24V Topcon G2G non-DCR solar panel,8730,,,12,5,85414300,pcs,10,8,25 Years,,goods,1,,,G2G1770-HAD (590W-Non DCR),active,,Apr-26-v1,Eastman Solar PV Modules,,"{""wattage_w"": 590, ""voltage_dc_v"": 24, ""cell_type"": ""Topcon G2G""}",G2G1770-HAD (590W-Non DCR)
Eastman Solar Panel EBP500W DCR 500WP Bi-Facial,EAS-PAN-EBP500W-DCR,Eastman,Solar Panel / PV Module,500WP 24V Mono Perc Bi-Facial DCR ALMM approved solar panel,11920,,,12,5,85414300,pcs,10,8,25 Years,,goods,1,true,true,EBP500W-DCR,active,,Apr-26-v1,Eastman Solar PV Modules,,"{""wattage_w"": 500, ""voltage_dc_v"": 24, ""cell_type"": ""Mono Perc Bi-Facial""}",EBP500W-DCR
Eastman Solar Panel EBP550W DCR 550WP Bi-Facial,EAS-PAN-EBP550W-DCR,Eastman,Solar Panel / PV Module,550WP 24V Mono Perc Bi-Facial DCR ALMM approved solar panel,12580,,,12,5,85414300,pcs,10,8,25 Years,,goods,1,true,true,EBP550W-DCR,active,,Apr-26-v1,Eastman Solar PV Modules,,"{""wattage_w"": 550, ""voltage_dc_v"": 24, ""cell_type"": ""Mono Perc Bi-Facial""}",EBP550W-DCR
Eastman Solar Panel ETC Topcon 580W DCR,EAS-PAN-ETC580W-DCR,Eastman,Solar Panel / PV Module,580WP 24V Topcon G2G DCR ALMM approved solar panel,14370,,,12,5,85414300,pcs,10,8,25 Years,,goods,1,true,true,ETC TOPCON 580W DCR,active,,Apr-26-v1,Eastman Solar PV Modules,,"{""wattage_w"": 580, ""voltage_dc_v"": 24, ""cell_type"": ""Topcon G2G""}",ETC TOPCON 580W DCR
Eastman Solar Panel ETC Topcon 560W DCR,EAS-PAN-ETC560W-DCR,Eastman,Solar Panel / PV Module,560WP 24V Topcon G2G DCR ALMM approved solar panel,13820,,,12,5,85414300,pcs,10,8,25 Years,,goods,1,true,true,ETC TOPCON 560W DCR,active,,Apr-26-v1,Eastman Solar PV Modules,,"{""wattage_w"": 560, ""voltage_dc_v"": 24, ""cell_type"": ""Topcon G2G""}",ETC TOPCON 560W DCR
Eastman Solar Pro PCU 850VA 12V,EAS-PCU-SW-PRO850,Eastman,Solar PCU — Sine Wave,Sine wave solar PCU 850VA 12V with 1100W panel support. Lithium-ION battery compatible.,4170,,,15,5,85044090,pcs,3,10,5 Years,,goods,1,,,Solar Pro,active,,Apr-26-v1,Eastman Solar Pro PCU,,"{""capacity_va"": 850, ""dc_voltage_v"": 12, ""panel_support_w"": 1100}",Pro 850
Eastman Solar Pro PCU 1000VA 12V,EAS-PCU-SW-PRO1000,Eastman,Solar PCU — Sine Wave,Sine wave solar PCU 1000VA 12V with 1300W panel support. Lithium-ION battery compatible.,4950,,,15,5,85044090,pcs,3,10,5 Years,,goods,1,,,Solar Pro,active,,Apr-26-v1,Eastman Solar Pro PCU,,"{""capacity_va"": 1000, ""dc_voltage_v"": 12, ""panel_support_w"": 1300}",Pro 1000
Eastman Solar Pro PCU 1400VA 12V,EAS-PCU-SW-PRO1400,Eastman,Solar PCU — Sine Wave,Sine wave solar PCU 1400VA 12V with 1400W panel support. Lithium-ION battery compatible.,5630,,,15,5,85044090,pcs,3,10,5 Years,,goods,1,,,Solar Pro,active,,Apr-26-v1,Eastman Solar Pro PCU,,"{""capacity_va"": 1400, ""dc_voltage_v"": 12, ""panel_support_w"": 1400}",Pro 1400
Eastman Solar Pro PCU 2000VA 12V,EAS-PCU-SW-PRO2000,Eastman,Solar PCU — Sine Wave,Sine wave solar PCU 2000VA 12V with 2600W panel support. Lithium-ION battery compatible.,7810,,,15,5,85044090,pcs,3,10,5 Years,,goods,1,,,Solar Pro,active,,Apr-26-v1,Eastman Solar Pro PCU,,"{""capacity_va"": 2000, ""dc_voltage_v"": 12, ""panel_support_w"": 2600}",Pro 2000
Eastman Solar Promax MPPT PCU 500VA 12V,EAS-PCU-MP-PMAX500,Eastman,Solar PCU — MPPT,MPPT solar PCU 500VA 12V with 650W panel support. Lithium-ION battery compatible.,4910,,,15,5,85044090,pcs,2,10,5 Years,,goods,1,,,Solar Promax,active,,Apr-26-v1,Eastman Solar Promax PCU,,"{""capacity_va"": 500, ""dc_voltage_v"": 12, ""panel_support_w"": 650}",Promax 500
Eastman Solar Promax MPPT PCU 1000VA 12V,EAS-PCU-MP-PMAX1000,Eastman,Solar PCU — MPPT,MPPT solar PCU 1000VA 12V with 1300W panel support. Lithium-ION battery compatible.,7050,,,15,5,85044090,pcs,2,10,5 Years,,goods,1,,,Solar Promax,active,,Apr-26-v1,Eastman Solar Promax PCU,,"{""capacity_va"": 1000, ""dc_voltage_v"": 12, ""panel_support_w"": 1300}",Promax 1000
Eastman Solar Promax MPPT PCU 1500VA 24V,EAS-PCU-MP-PMAX1500,Eastman,Solar PCU — MPPT,MPPT solar PCU 1500VA 24V with 1950W panel support. Lithium-ION battery compatible.,9390,,,15,5,85044090,pcs,2,10,5 Years,,goods,1,,,Solar Promax,active,,Apr-26-v1,Eastman Solar Promax PCU,,"{""capacity_va"": 1500, ""dc_voltage_v"": 24, ""panel_support_w"": 1950}",Promax 1500
Eastman Solar Promax MPPT PCU 2000VA 24V,EAS-PCU-MP-PMAX2000,Eastman,Solar PCU — MPPT,MPPT solar PCU 2000VA 24V with 2600W panel support. Lithium-ION battery compatible.,12410,,,15,5,85044090,pcs,2,10,5 Years,,goods,1,,,Solar Promax,active,,Apr-26-v1,Eastman Solar Promax PCU,,"{""capacity_va"": 2000, ""dc_voltage_v"": 24, ""panel_support_w"": 2600}",Promax 2000
Eastman Solar Promax MPPT PCU 2500VA 24V,EAS-PCU-MP-PMAX2500,Eastman,Solar PCU — MPPT,MPPT solar PCU 2500VA 24V with 3540W panel support. Lithium-ION battery compatible.,13510,,,15,5,85044090,pcs,2,10,5 Years,,goods,1,,,Solar Promax,active,,Apr-26-v1,Eastman Solar Promax PCU,,"{""capacity_va"": 2500, ""dc_voltage_v"": 24, ""panel_support_w"": 3540}",Promax 2500
Eastman Solar Promax MPPT PCU 3000VA 48V,EAS-PCU-MP-PMAX3000,Eastman,Solar PCU — MPPT,MPPT solar PCU 3000VA 48V with 3900W panel support. Lithium-ION battery compatible.,23010,,,15,5,85044090,pcs,2,10,5 Years,,goods,1,,,Solar Promax,active,,Apr-26-v1,Eastman Solar Promax PCU,,"{""capacity_va"": 3000, ""dc_voltage_v"": 48, ""panel_support_w"": 3900}",Promax 3000
Eastman Solar Promax MPPT PCU 5000VA 48V,EAS-PCU-MP-PMAX5000,Eastman,Solar PCU — MPPT,MPPT solar PCU 5000VA 48V with 6500W panel support. Lithium-ION battery compatible.,32590,,,15,5,85044090,pcs,2,10,5 Years,,goods,1,,,Solar Promax,active,,Apr-26-v1,Eastman Solar Promax PCU,,"{""capacity_va"": 5000, ""dc_voltage_v"": 48, ""panel_support_w"": 6500}",Promax 5000
Eastman Solar Promax MPPT PCU 5500VA 96V,EAS-PCU-MP-PMAX5500,Eastman,Solar PCU — MPPT,MPPT solar PCU 5500VA 96V with 7150W panel support. Lithium-ION battery compatible.,42500,,,15,5,85044090,pcs,2,10,5 Years,,goods,1,,,Solar Promax,active,,Apr-26-v1,Eastman Solar Promax PCU,,"{""capacity_va"": 5500, ""dc_voltage_v"": 96, ""panel_support_w"": 7150}",Promax 5500
Eastman Solar Promax MPPT PCU 10000VA 120V,EAS-PCU-MP-PMAX10000,Eastman,Solar PCU — MPPT,MPPT solar PCU 10000VA 120V with 12000W panel support. Lithium-ION battery compatible.,70790,,,15,5,85044090,pcs,2,10,5 Years,,goods,1,,,Solar Promax,active,,Apr-26-v1,Eastman Solar Promax PCU,,"{""capacity_va"": 10000, ""dc_voltage_v"": 120, ""panel_support_w"": 12000}",Promax 10000
Eastman Solar Prime PCU 850VA 12V,EAS-PCU-SW-SPRM1050,Eastman,Solar PCU — Sine Wave,Sine wave solar PCU 850VA 12V with 880W panel support. Lithium-ION battery compatible.,4070,,,15,5,85044090,pcs,3,10,3 Years,,goods,1,,,Solar Prime,active,,Apr-26-v1,Eastman Solar Prime PCU,,"{""capacity_va"": 850, ""dc_voltage_v"": 12, ""panel_support_w"": 880}",Solar Prime 1050
Eastman Solar Prime PCU 1050VA 12V,EAS-PCU-SW-SPRM1500,Eastman,Solar PCU — Sine Wave,Sine wave solar PCU 1050VA 12V with 1100W panel support. Lithium-ION battery compatible.,4910,,,15,5,85044090,pcs,3,10,3 Years,,goods,1,,,Solar Prime,active,,Apr-26-v1,Eastman Solar Prime PCU,,"{""capacity_va"": 1050, ""dc_voltage_v"": 12, ""panel_support_w"": 1100}",Solar Prime 1500
Eastman Solar Prime PCU 1300VA 12V,EAS-PCU-SW-SPRM1750,Eastman,Solar PCU — Sine Wave,Sine wave solar PCU 1300VA 12V with 1300W panel support. Lithium-ION battery compatible.,5460,,,15,5,85044090,pcs,3,10,3 Years,,goods,1,,,Solar Prime,active,,Apr-26-v1,Eastman Solar Prime PCU,,"{""capacity_va"": 1300, ""dc_voltage_v"": 12, ""panel_support_w"": 1300}",Solar Prime 1750
Eastman Solar Prime PCU 1500VA 24V,EAS-PCU-SW-SPRM2000,Eastman,Solar PCU — Sine Wave,Sine wave solar PCU 1500VA 24V with 1500W panel support. Lithium-ION battery compatible.,6080,,,15,5,85044090,pcs,3,10,3 Years,,goods,1,,,Solar Prime,active,,Apr-26-v1,Eastman Solar Prime PCU,,"{""capacity_va"": 1500, ""dc_voltage_v"": 24, ""panel_support_w"": 1500}",Solar Prime 2000
Eastman Solar Prime PCU 2000VA 24V,EAS-PCU-SW-SPRM3000,Eastman,Solar PCU — Sine Wave,Sine wave solar PCU 2000VA 24V with 2100W panel support. Lithium-ION battery compatible.,8130,,,15,5,85044090,pcs,3,10,3 Years,,goods,1,,,Solar Prime,active,,Apr-26-v1,Eastman Solar Prime PCU,,"{""capacity_va"": 2000, ""dc_voltage_v"": 24, ""panel_support_w"": 2100}",Solar Prime 3000
Eastman Solar Prime PCU 3000VA 24V,EAS-PCU-SW-SPRM3550,Eastman,Solar PCU — Sine Wave,Sine wave solar PCU 3000VA 24V with 3200W panel support. Lithium-ION battery compatible.,10380,,,15,5,85044090,pcs,3,10,3 Years,,goods,1,,,Solar Prime,active,,Apr-26-v1,Eastman Solar Prime PCU,,"{""capacity_va"": 3000, ""dc_voltage_v"": 24, ""panel_support_w"": 3200}",Solar Prime 3550
Eastman Solar Primemax MPPT PCU 1000VA 12V,EAS-PCU-MP-SPRMX1050,Eastman,Solar PCU — MPPT,MPPT solar PCU 1000VA 12V with 1180W panel support. Lithium-ION battery compatible.,7150,,,15,5,85044090,pcs,2,10,3 Years,,goods,1,,,Solar PrimeMax,active,,Apr-26-v1,Eastman Solar PrimeMax PCU,,"{""capacity_va"": 1000, ""dc_voltage_v"": 12, ""panel_support_w"": 1180}",Solar Prime Max 1050
Eastman Solar Primemax MPPT PCU 1500VA 24V,EAS-PCU-MP-SPRMX2000,Eastman,Solar PCU — MPPT,MPPT solar PCU 1500VA 24V with 1770W panel support. Lithium-ION battery compatible.,8470,,,15,5,85044090,pcs,2,10,3 Years,,goods,1,,,Solar PrimeMax,active,,Apr-26-v1,Eastman Solar PrimeMax PCU,,"{""capacity_va"": 1500, ""dc_voltage_v"": 24, ""panel_support_w"": 1770}",Solar Prime Max 2000
Eastman Solar Primemax MPPT PCU 2250VA 24V,EAS-PCU-MP-SPRMX3000,Eastman,Solar PCU — MPPT,MPPT solar PCU 2250VA 24V with 2360W panel support. Lithium-ION battery compatible.,11400,,,15,5,85044090,pcs,2,10,3 Years,,goods,1,,,Solar PrimeMax,active,,Apr-26-v1,Eastman Solar PrimeMax PCU,,"{""capacity_va"": 2250, ""dc_voltage_v"": 24, ""panel_support_w"": 2360}",Solar Prime Max 3000
Eastman Solar Primemax MPPT PCU 3000VA 24V,EAS-PCU-MP-SPRMX3350,Eastman,Solar PCU — MPPT,MPPT solar PCU 3000VA 24V with 3540W panel support. Lithium-ION battery compatible.,13710,,,15,5,85044090,pcs,2,10,3 Years,,goods,1,,,Solar PrimeMax,active,,Apr-26-v1,Eastman Solar PrimeMax PCU,,"{""capacity_va"": 3000, ""dc_voltage_v"": 24, ""panel_support_w"": 3540}",Solar Prime Max 3350
Eastman Solar Primemax MPPT PCU 3750VA 48V,EAS-PCU-MP-SPRMX4000,Eastman,Solar PCU — MPPT,MPPT solar PCU 3750VA 48V with 4400W panel support. Lithium-ION battery compatible.,26780,,,15,5,85044090,pcs,2,10,3 Years,,goods,1,,,Solar PrimeMax,active,,Apr-26-v1,Eastman Solar PrimeMax PCU,,"{""capacity_va"": 3750, ""dc_voltage_v"": 48, ""panel_support_w"": 4400}",Solar Prime Max 4000
Eastman Solar Primemax MPPT PCU 5000VA 48V,EAS-PCU-MP-SPRMX6000,Eastman,Solar PCU — MPPT,MPPT solar PCU 5000VA 48V with 5500W panel support. Lithium-ION battery compatible.,36740,,,15,5,85044090,pcs,2,10,3 Years,,goods,1,,,Solar PrimeMax,active,,Apr-26-v1,Eastman Solar PrimeMax PCU,,"{""capacity_va"": 5000, ""dc_voltage_v"": 48, ""panel_support_w"": 5500}",Solar Prime Max 6000
Eastman Solar Primemax MPPT PCU 7500VA 96V,EAS-PCU-MP-SPRMX8000,Eastman,Solar PCU — MPPT,MPPT solar PCU 7500VA 96V with 8800W panel support. Lithium-ION battery compatible.,55000,,,15,5,85044090,pcs,2,10,3 Years,,goods,1,,,Solar PrimeMax,active,,Apr-26-v1,Eastman Solar PrimeMax PCU,,"{""capacity_va"": 7500, ""dc_voltage_v"": 96, ""panel_support_w"": 8800}",Solar Prime Max 8000
Eastman Solar Primemax MPPT PCU 10000VA 120V,EAS-PCU-MP-SPRMX11000,Eastman,Solar PCU — MPPT,MPPT solar PCU 10000VA 120V with 11800W panel support. Lithium-ION battery compatible.,69370,,,15,5,85044090,pcs,2,10,3 Years,,goods,1,,,Solar PrimeMax,active,,Apr-26-v1,Eastman Solar PrimeMax PCU,,"{""capacity_va"": 10000, ""dc_voltage_v"": 120, ""panel_support_w"": 11800}",Solar Prime Max 11000
Eastman Solar Smart PCU 500VA 12V,EAS-PCU-SW-SM925,Eastman,Solar PCU — Sine Wave,Sine wave solar PCU 500VA 12V with 650W panel support. Lithium-ION battery compatible.,4440,,,15,5,85044090,pcs,3,10,5 Years,,goods,1,,,Solar Smart,active,,Apr-26-v1,Eastman Solar Smart PCU,,"{""""capacity_va"""":500,""""dc_voltage_v"""":12,""""panel_support_w"""":650}",Smart 925
