# Valid categories: Solar PCU - Sine Wave | Solar PCU - MPPT | Grid Tie Inverter - 1 Phase | Grid Tie Inverter - 3 Phase | Hybrid Inverter | Home UPS / Inverter | Solar Battery - Lead Acid | Solar Battery - Lithium | Home Battery - Lead Acid | Rack / Wall Battery | Solar Panel / PV Module | Solar Charge Controller | GTI Accessory | Inverter Accessory | Solar BOS Kit | Solar Combo / SPGS,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,sku,brand,category,description,distributorPrice,logisticsCost,unitPrice,targetMarginPct,gstRate,hsnCode,unit,minStockLevel,minMarginPct,warrantyPeriod,mrp,type,packSize,almm,dcrCompliant,modelSeries,lifecycleStatus,applicableRegions,priceListVersion,productFamily,customerTierPrice,specs,supplierSku
Eastman Solar Battery EM260SB 260Ah,EAS-BAT-EM260SB,Eastman,Solar Battery - Lead Acid,Eastman 260Ah solar variant lead acid tubular battery,18090,,,20,18,85072000,pcs,3,12,60+60 Months,,goods,1,,,EM260SB,active,,Apr-26-v1,Eastman Solar Battery,,"{""capacity_ah"": 260, ""voltage_v"": 12, ""chemistry"": ""Lead Acid Tubular"", ""variant"": ""Solar""}",
Eastman Solar Smart Battery EM16500SSR 150Ah,EAS-BAT-EM16500SSR,Eastman,Solar Battery - Lead Acid,Eastman 150Ah solar smart lead acid battery,9010,,,20,18,85072000,pcs,3,12,36+36 Months,,goods,1,,,EM16500SSR,active,,Apr-26-v1,Eastman Solar Smart Battery,,"{""capacity_ah"": 150, ""voltage_v"": 12, ""chemistry"": ""Lead Acid"", ""variant"": ""Solar Smart""}",
Eastman Solar Smart Battery EM22500SSR 200Ah,EAS-BAT-EM22500SSR,Eastman,Solar Battery - Lead Acid,Eastman 200Ah solar smart lead acid battery,11320,,,20,18,85072000,pcs,3,12,36+36 Months,,goods,1,,,EM22500SSR,active,,Apr-26-v1,Eastman Solar Smart Battery,,"{""capacity_ah"": 200, ""voltage_v"": 12, ""chemistry"": ""Lead Acid"", ""variant"": ""Solar Smart""}",
Eastman Wall Mounted Lithium Battery ES25.6-100LP 25.6V 100Ah,EAS-BAT-EMLIB160,Eastman,Rack / Wall Battery,Eastman lithium wall mounted battery 25.6V 100Ah,28030,,,18,18,85078000,pcs,2,12,5 Years,,goods,1,,,ES25.6-100LP,active,,Apr-26-v1,Eastman Rack Wall Lithium Battery,,"{""capacity_ah"": 100, ""voltage_v"": 25.6, ""chemistry"": ""Lithium"", ""mounting"": ""Wall"", ""rack_fitted"": ""false""}",
Eastman Wall Mounted Lithium Battery ES51.2-100LP 51.2V 100Ah,EAS-BAT-EMLIB240,Eastman,Rack / Wall Battery,Eastman lithium wall mounted battery 51.2V 100Ah,44970,,,18,18,85078000,pcs,2,12,5 Years,,goods,1,,,ES51.2-100LP,active,,Apr-26-v1,Eastman Rack Wall Lithium Battery,,"{""capacity_ah"": 100, ""voltage_v"": 51.2, ""chemistry"": ""Lithium"", ""mounting"": ""Wall"", ""rack_fitted"": ""false""}",
Eastman Rack Fitted Lithium Battery ES51.2-100BS 51.2V 100Ah,EAS-BAT-EMLIB320,Eastman,Rack / Wall Battery,Eastman lithium rack fitted battery 51.2V 100Ah,44000,,,18,18,85078000,pcs,2,12,5 Years,,goods,1,,,ES51.2-100BS,active,,Apr-26-v1,Eastman Rack Wall Lithium Battery,,"{""capacity_ah"": 100, ""voltage_v"": 51.2, ""chemistry"": ""Lithium"", ""mounting"": ""Rack"", ""rack_fitted"": ""true""}",
Eastman Lithium-Ion Solar Battery EM-LIB-160 12.8V 100Ah,EAS-BAT-EMLIB480,Eastman,Solar Battery - Lithium,Eastman lithium-ion solar battery 12.8V 100Ah,14550,,,18,18,85078000,pcs,2,12,5 Years,,goods,1,,,EM-LIB-160 Solar,active,,Apr-26-v1,Eastman Lithium-Ion Solar Battery,,"{""capacity_ah"": 100, ""voltage_v"": 12.8, ""chemistry"": ""Lithium-Ion"", ""variant"": ""Solar""}",
Eastman Lithium-Ion Solar Battery EM-LIB-240 25.6V 150Ah,EAS-BAT-LIB-240,Eastman,Solar Battery - Lithium,Eastman lithium-ion solar battery 25.6V 150Ah,23130,,,18,18,85078000,pcs,2,12,5 Years,,goods,1,,,EM-LIB-240 Solar,active,,Apr-26-v1,Eastman Lithium-Ion Solar Battery,,"{""capacity_ah"": 150, ""voltage_v"": 25.6, ""chemistry"": ""Lithium-Ion"", ""variant"": ""Solar""}",
Eastman Lithium-Ion Solar Battery EM-LIB-320 12.8V 100Ah,EAS-BAT-LIB-320,Eastman,Solar Battery - Lithium,Eastman lithium-ion solar battery 12.8V 100Ah,28100,,,18,18,85078000,pcs,2,12,5 Years,,goods,1,,,EM-LIB-320 Solar,active,,Apr-26-v1,Eastman Lithium-Ion Solar Battery,,"{""capacity_ah"": 100, ""voltage_v"": 12.8, ""chemistry"": ""Lithium-Ion"", ""variant"": ""Solar""}",
Eastman Lithium-Ion Solar Battery EM-LIB-480 25.6V 150Ah,EAS-BAT-LIB-480,Eastman,Solar Battery - Lithium,Eastman lithium-ion solar battery 25.6V 150Ah,42050,,,18,18,85078000,pcs,2,12,5 Years,,goods,1,,,EM-LIB-480 Solar,active,,Apr-26-v1,Eastman Lithium-Ion Solar Battery,,"{""capacity_ah"": 150, ""voltage_v"": 25.6, ""chemistry"": ""Lithium-Ion"", ""variant"": ""Solar""}",
Eastman EM Hybrid Inverter 3KW 1Ph Optigrid,EAS-HYB-1P-3KW,Eastman,Hybrid Inverter,Eastman Optigrid hybrid solar inverter 3KW 1P 48V lithium-ion compatible,64540,,,15,5,85044090,pcs,1,10,10 Years,,goods,1,,,EM Hybrid Inverter 3KW-1P:1M-Optigrid,active,,Apr-26-v1,Eastman Hybrid Inverters,,"{""capacity_kw"": 3, ""voltage_v"": 48, ""phase"": ""1P""}",
Eastman EM Hybrid Inverter 5KW 1Ph Optigrid,EAS-HYB-1P-5KW,Eastman,Hybrid Inverter,Eastman Optigrid hybrid solar inverter 5KW 1P 48V lithium-ion compatible,75740,,,15,5,85044090,pcs,1,10,10 Years,,goods,1,,,EM Hybrid Inverter 5KW-1P:1M-Optigrid,active,,Apr-26-v1,Eastman Hybrid Inverters,,"{""capacity_kw"": 5, ""voltage_v"": 48, ""phase"": ""1P""}",
Eastman EM Hybrid Inverter 10KW 3Ph Optigrid,EAS-HYB-3P-10KW,Eastman,Hybrid Inverter,Eastman Optigrid hybrid solar inverter 10KW 3P 48V lithium-ion compatible,157600,,,15,5,85044090,pcs,1,10,10 Years,,goods,1,,,EM Hybrid Inverter 10KW-3P:2M-Optigrid,active,,Apr-26-v1,Eastman Hybrid Inverters,,"{""capacity_kw"": 10, ""voltage_v"": 48, ""phase"": ""3P""}",
Eastman Solar Panel EMP50W 50WP Mono Perc,EAS-PAN-EMP50W,Eastman,Solar Panel / PV Module,50WP 12V Mono Perc solar panel,1360,,,12,5,85414300,pcs,10,8,25 Years,,goods,1,,,EMP50W,active,,Apr-26-v1,Eastman Solar PV Modules,,"{""wattage_w"": 50, ""voltage_dc_v"": 12, ""cell_type"": ""Mono Perc""}",
Eastman Solar Panel EMP125W 125WP Mono Perc,EAS-PAN-EMP125W,Eastman,Solar Panel / PV Module,125WP 12V Mono Perc solar panel,2760,,,12,5,85414300,pcs,10,8,25 Years,,goods,1,,,EMP125W,active,,Apr-26-v1,Eastman Solar PV Modules,,"{""wattage_w"": 125, ""voltage_dc_v"": 12, ""cell_type"": ""Mono Perc""}",
Eastman Solar Panel EMP210W 210WP Mono Perc,EAS-PAN-EMP210W,Eastman,Solar Panel / PV Module,210WP 12V Mono Perc solar panel,4100,,,12,5,85414300,pcs,10,8,25 Years,,goods,1,,,EMP210W,active,,Apr-26-v1,Eastman Solar PV Modules,,"{""wattage_w"": 210, ""voltage_dc_v"": 12, ""cell_type"": ""Mono Perc""}",
Eastman Solar Panel EBP550W Non-DCR 550WP Bi-Facial,EAS-PAN-EBP550W-NDCR,Eastman,Solar Panel / PV Module,550WP 24V Mono Perc Bi-Facial non-DCR solar panel,8440,,,12,5,85414300,pcs,10,8,25 Years,,goods,1,,,EBP550W-Non DCR,active,,Apr-26-v1,Eastman Solar PV Modules,,"{""wattage_w"": 550, ""voltage_dc_v"": 24, ""cell_type"": ""Mono Perc Bi-Facial""}",
Eastman Solar Panel G2G1770-HAD 590WP Topcon Non-DCR,EAS-PAN-G2G590W-NDCR,Eastman,Solar Panel / PV Module,590WP 24V Topcon G2G non-DCR solar panel,8730,,,12,5,85414300,pcs,10,8,25 Years,,goods,1,,,G2G1770-HAD (590W-Non DCR),active,,Apr-26-v1,Eastman Solar PV Modules,,"{""wattage_w"": 590, ""voltage_dc_v"": 24, ""cell_type"": ""Topcon G2G""}",
Eastman Solar Panel EBP500W-DCR 500WP Bi-Facial,EAS-PAN-EBP500W-DCR,Eastman,Solar Panel / PV Module,500WP 24V Mono Perc Bi-Facial DCR ALMM approved solar panel,11920,,,12,5,85414300,pcs,10,8,25 Years,,goods,1,FALSE,FALSE,EBP500W-DCR,active,,Apr-26-v1,Eastman Solar PV Modules,,"{""wattage_w"": 500, ""voltage_dc_v"": 24, ""cell_type"": ""Mono Perc Bi-Facial""}",
Eastman Solar Panel EBP550W-DCR 550WP Bi-Facial,EAS-PAN-EBP550W-DCR,Eastman,Solar Panel / PV Module,550WP 24V Mono Perc Bi-Facial DCR ALMM approved solar panel,12580,,,12,5,85414300,pcs,10,8,25 Years,,goods,1,TRUE,TRUE,EBP550W-DCR,active,,Apr-26-v1,Eastman Solar PV Modules,,"{""wattage_w"": 550, ""voltage_dc_v"": 24, ""cell_type"": ""Mono Perc Bi-Facial""}",
Eastman Solar Panel ETC Topcon 580W DCR,EAS-PAN-ETC580W-DCR,Eastman,Solar Panel / PV Module,580WP 24V Topcon G2G DCR ALMM approved solar panel,14370,,,12,5,85414300,pcs,10,8,25 Years,,goods,1,TRUE,TRUE,ETC TOPCON 580W DCR,active,,Apr-26-v1,Eastman Solar PV Modules,,"{""wattage_w"": 580, ""voltage_dc_v"": 24, ""cell_type"": ""Topcon G2G""}",
Eastman Solar Panel ETC Topcon 560W DCR,EAS-PAN-ETC560W-DCR,Eastman,Solar Panel / PV Module,560WP 24V Topcon G2G DCR ALMM approved solar panel,13820,,,12,5,85414300,pcs,10,8,25 Years,,goods,1,TRUE,TRUE,ETC TOPCON 560W DCR,active,,Apr-26-v1,Eastman Solar PV Modules,,"{""wattage_w"": 560, ""voltage_dc_v"": 24, ""cell_type"": ""Topcon G2G""}",
Solar BOS Kit(Eco) GTI 1P,EAS-BOS-ECO-GTI1P,Eastman,Solar BOS Kit,"Complete Balance of System (BOS) kit for single phase grid-tie solar installation. Includes AC/DC switchgear, cables, earthing, connectors and hardware.",10450,,,20,18,85044090,pcs,2,15,,,goods,1,,,,active,,Apr-26-v1,Eastman Solar BOS Kit,,{},
Solar BOS Kit(Eco) Accessories AC SIDE,EAS-BOS-ACC-ACSIDE,Eastman,Solar BOS Kit,"Solar ACDB single phase, IP, box size 175x118",,,,0,18,85044090,pcs,1,15,,,goods,1,,,,draft,,Apr-26-v1,Eastman Solar BOS Kit Accessories,,{},
Solar BOS Kit(Eco) Accessories DC SIDE,EAS-BOS-ACC-DCSIDE,Eastman,Solar BOS Kit,"Solar DCDB DC fuse, MCB, box size 175x118",,,,0,18,85044090,pcs,1,15,,,goods,1,,,,draft,,Apr-26-v1,Eastman Solar BOS Kit Accessories,,{},
Solar BOS Kit(Eco) Accessories DC CABLE,EAS-BOS-ACC-DCCABLE,Eastman,Solar BOS Kit,"DC wire 1C x 4MM, UV resistant, black & red",,,,0,18,85044090,mtr,30,15,,,goods,1,,,,draft,,Apr-26-v1,Eastman Solar BOS Kit Accessories,,{},
Solar BOS Kit(Eco) Accessories AC CABLE,EAS-BOS-ACC-ACCABLE,Eastman,Solar BOS Kit,"2C x 6 sq.mm aluminum, 1100V XLPE, ATR 2 core x 6 sqmm, A2XWY, IS 7098",,,,0,18,85044090,mtr,30,15,,,goods,1,,,,draft,,Apr-26-v1,Eastman Solar BOS Kit Accessories,,{},
Solar BOS Kit(Eco) Accessories EARTHING CABLE,EAS-BOS-ACC-EARTHCBL,Eastman,Solar BOS Kit,"1C x 2.5 sq.mm single core, FR green",,,,0,18,85044090,mtr,30,15,,,goods,1,,,,draft,,Apr-26-v1,Eastman Solar BOS Kit Accessories,,{},
Solar BOS Kit(Eco) Accessories MC4 CONNECTOR,EAS-BOS-ACC-MC4CON,Eastman,Solar BOS Kit,MC4 connectors 1000V DC,,,,0,18,85044090,pcs,4,15,,,goods,1,,,,draft,,Apr-26-v1,Eastman Solar BOS Kit Accessories,,{},
Solar BOS Kit(Eco) Accessories LIGHTNING ARRESTER,EAS-BOS-ACC-LTGARR,Eastman,Solar BOS Kit,"Conventional type LA 1 meter, 1.15 kg, rod dia 13mm x 1000mm, welded 5 spike",,,,0,18,85044090,pcs,1,15,,,goods,1,,,,draft,,Apr-26-v1,Eastman Solar BOS Kit Accessories,,{},
Solar BOS Kit(Eco) Accessories EARTHING ROD,EAS-BOS-ACC-EARTHROD,Eastman,Solar BOS Kit,"Copper bounded earthing rod, 1.25 kg, rod dia 13mm x 1000mm, copper bonded",,,,0,18,85044090,pcs,3,15,,,goods,1,,,,draft,,Apr-26-v1,Eastman Solar BOS Kit Accessories,,{},
Solar BOS Kit(Eco) Accessories CHEMICAL BAGS,EAS-BOS-ACC-CHEMBAG,Eastman,Solar BOS Kit,Chemical bags bentonite,,,,0,18,85044090,kg,24,15,,,goods,1,,,,draft,,Apr-26-v1,Eastman Solar BOS Kit Accessories,,{},
Solar BOS Kit(Eco) Accessories EARTH PIT COVER,EAS-BOS-ACC-EPPCOVER,Eastman,Solar BOS Kit,Earth pit cover heavy-duty 125 grm OD 158 ID 140 thickness 20mm green; bucket 500 grm height 240mm,,,,0,18,85044090,pcs,3,15,,,goods,1,,,,draft,,Apr-26-v1,Eastman Solar BOS Kit Accessories,,{},
Solar BOS Kit(Eco) Accessories CABLE TIES,EAS-BOS-ACC-CABLETIE,Eastman,Solar BOS Kit,"Nylon UV-resistant cable ties (50 nos), dis 3, 82mm, CV-300, 300 x 6.8mm",,,,0,18,85044090,pcs,100,15,,,goods,1,,,,draft,,Apr-26-v1,Eastman Solar BOS Kit Accessories,,{},
Solar BOS Kit(Eco) Accessories ELECTRIC TAPE,EAS-BOS-ACC-ELETAPE,Eastman,Solar BOS Kit,"Insulation tape weatherproof, 5 colour, 6.5 mtr",,,,0,18,85044090,pcs,5,15,,,goods,1,,,,draft,,Apr-26-v1,Eastman Solar BOS Kit Accessories,,{},
Solar BOS Kit(Eco) Accessories PU FOAM,EAS-BOS-ACC-PUFOAM,Eastman,Solar BOS Kit,"PU foam, waterproof sealing, 750 ml",,,,0,18,85044090,pcs,1,15,,,goods,1,,,,draft,,Apr-26-v1,Eastman Solar BOS Kit Accessories,,{},
Solar BOS Kit(Eco) Accessories PVC GITTI,EAS-BOS-ACC-PVCGITTI,Eastman,Solar BOS Kit,"PVC gitti, fastener for conduit",,,,0,18,85044090,pcs,50,15,,,goods,1,,,,draft,,Apr-26-v1,Eastman Solar BOS Kit Accessories,,{},
Solar BOS Kit(Eco) Accessories GI SCREW,EAS-BOS-ACC-GISCREW,Eastman,Solar BOS Kit,"GI screw, galvanized screw, 35mm",,,,0,18,85044090,pcs,50,15,,,goods,1,,,,draft,,Apr-26-v1,Eastman Solar BOS Kit Accessories,,{},
Solar BOS Kit(Eco) Accessories PVC CLIP,EAS-BOS-ACC-PVCCLIP,Eastman,Solar BOS Kit,"PVC clip, 1""",,,,0,18,85044090,pcs,24,15,,,goods,1,,,,draft,,Apr-26-v1,Eastman Solar BOS Kit Accessories,,{},
Solar BOS Kit(Eco) Accessories DANGER BOARD,EAS-BOS-ACC-DANGERBD,Eastman,Solar BOS Kit,"Danger board, electrical hazard, 0.5mm x 150x200mm, two holes, powder coated",,,,0,18,85044090,pcs,1,15,,,goods,1,,,,draft,,Apr-26-v1,Eastman Solar BOS Kit Accessories,,{},
Solar BOS Kit(Eco) Accessories HARDWARE,EAS-BOS-ACC-HARDWARE,Eastman,Solar BOS Kit,SS M6 x 25mm nut bolt with washer,,,,0,18,85044090,pcs,3,15,,,goods,1,,,,draft,,Apr-26-v1,Eastman Solar BOS Kit Accessories,,{},
Solar BOS Kit(Eco) Accessories LUGS - ALUM PIN,EAS-BOS-ACC-LUG-APIN,Eastman,Solar BOS Kit,Aluminum pin terminal lug 6SQ,,,,0,18,85044090,pcs,10,15,,,goods,1,,,,draft,,Apr-26-v1,Eastman Solar BOS Kit Accessories,,{},
Solar BOS Kit(Eco) Accessories LUGS - CU RING,EAS-BOS-ACC-LUG-CRING,Eastman,Solar BOS Kit,Copper ring terminal lug 6SQ,,,,0,18,85044090,pcs,10,15,,,goods,1,,,,draft,,Apr-26-v1,Eastman Solar BOS Kit Accessories,,{},
Solar BOS Kit(Eco) Accessories LUGS - CU PIN,EAS-BOS-ACC-LUG-CPIN,Eastman,Solar BOS Kit,Copper pin terminal lug 6SQ,,,,0,18,85044090,pcs,15,15,,,goods,1,,,,draft,,Apr-26-v1,Eastman Solar BOS Kit Accessories,,{},
Eastman Solar Pro PCU 850VA 12V,EAS-PCU-SW-PRO850,Eastman,Solar PCU - Sine Wave,Sine wave solar PCU 850VA 12V with 1100W panel support. Lithium-ION battery compatible.,4170,,,15,5,85044090,pcs,3,10,5 Years,,goods,1,,,Pro 850,active,,Apr-26-v1,Eastman Solar Pro PCU,,"{""capacity_va"": 850, ""dc_voltage_v"": 12, ""panel_support_w"": 1100}",
Eastman Solar Pro PCU 1000VA 12V,EAS-PCU-SW-PRO1000,Eastman,Solar PCU - Sine Wave,Sine wave solar PCU 1000VA 12V with 1300W panel support. Lithium-ION battery compatible.,4950,,,15,5,85044090,pcs,3,10,5 Years,,goods,1,,,Pro 1000,active,,Apr-26-v1,Eastman Solar Pro PCU,,"{""capacity_va"": 1000, ""dc_voltage_v"": 12, ""panel_support_w"": 1300}",
Eastman Solar Pro PCU 1400VA 12V,EAS-PCU-SW-PRO1400,Eastman,Solar PCU - Sine Wave,Sine wave solar PCU 1400VA 12V with 1400W panel support. Lithium-ION battery compatible.,5630,,,15,5,85044090,pcs,3,10,5 Years,,goods,1,,,Pro 1400,active,,Apr-26-v1,Eastman Solar Pro PCU,,"{""capacity_va"": 1400, ""dc_voltage_v"": 12, ""panel_support_w"": 1400}",
Eastman Solar Pro PCU 2000VA 12V,EAS-PCU-SW-PRO2000,Eastman,Solar PCU - Sine Wave,Sine wave solar PCU 2000VA 12V with 2600W panel support. Lithium-ION battery compatible.,7810,,,15,5,85044090,pcs,3,10,5 Years,,goods,1,,,Pro 2000,active,,Apr-26-v1,Eastman Solar Pro PCU,,"{""capacity_va"": 2000, ""dc_voltage_v"": 12, ""panel_support_w"": 2600}",
Eastman Solar Promax MPPT PCU 500VA 12V,EAS-PCU-MP-PMAX500,Eastman,Solar PCU - MPPT,MPPT solar PCU 500VA 12V with 650W panel support. Lithium-ION battery compatible.,4910,,,15,5,85044090,pcs,2,10,5 Years,,goods,1,,,Promax 500,active,,Apr-26-v1,Eastman Solar Promax PCU,,"{""capacity_va"": 500, ""dc_voltage_v"": 12, ""panel_support_w"": 650}",
Eastman Solar Promax MPPT PCU 1000VA 12V,EAS-PCU-MP-PMAX1000,Eastman,Solar PCU - MPPT,MPPT solar PCU 1000VA 12V with 1300W panel support. Lithium-ION battery compatible.,7050,,,15,5,85044090,pcs,2,10,5 Years,,goods,1,,,Promax 1000,active,,Apr-26-v1,Eastman Solar Promax PCU,,"{""capacity_va"": 1000, ""dc_voltage_v"": 12, ""panel_support_w"": 1300}",
